Nome percorso;Identificativo;Tipo;Fondo;Lunghezza;Tipo percorso (comunale, provinciale, ecc.);Nome
Sentiero dei Forti;Forti;Sentiero;Misto;7,9;Comunale;
Sentiero dei Mulini;Mulini;Sentiero;Misto;7,95;Comunale;
Sentiero tra Vigneti ed Oliveti;Vigneti;Sentiero;Misto;4,75;Comunale;
Sentiero delle Contrade;Contrade;Sentiero;Misto;5,7;Comunale;
Sentiero Cà del Vento - Vaio;Cà del Vento;Sentiero;Misto;5,3;Comunale;
Ciclovia dell'Adige;CV6;Ciclabile;Asfalto;3,5;Comunale;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
